iter	Passed	Remaining
0	3	3652
1	6	3041
2	8	2832
3	12	3118
4	16	3318
5	19	3187
6	21	3104
7	24	3086
8	27	3060
9	30	3012
10	33	2984
11	36	3028
12	39	2999
13	42	2990
14	45	2967
15	48	2953
16	50	2932
17	53	2919
18	56	2908
19	59	2892
20	61	2887
21	64	2874
22	67	2869
23	70	2857
24	73	2848
25	75	2841
26	78	2829
27	81	2824
28	84	2814
29	86	2807
30	89	2797
31	92	2792
32	95	2783
33	97	2779
34	100	2773
35	103	2764
36	106	2762
37	108	2755
38	111	2749
39	114	2740
40	117	2737
41	119	2728
42	122	2721
43	125	2721
44	127	2713
45	130	2707
46	133	2702
47	135	2697
48	138	2692
49	141	2685
50	144	2679
51	146	2675
52	149	2674
53	152	2667
54	155	2664
55	157	2660
56	160	2654
57	163	2655
58	166	2649
59	169	2649
60	171	2645
61	174	2640
62	177	2636
63	179	2632
64	182	2629
65	185	2623
66	188	2619
67	190	2615
68	193	2614
69	196	2610
70	199	2606
71	202	2606
72	204	2600
73	207	2599
74	210	2593
75	213	2590
76	217	2602
77	220	2602
78	222	2598
79	225	2593
80	228	2589
81	230	2584
82	233	2582
83	236	2578
84	239	2577
85	242	2572
86	244	2568
87	247	2564
88	250	2559
89	253	2565
90	256	2562
91	259	2560
92	262	2556
93	265	2556
94	268	2556
95	271	2554
96	273	2549
97	276	2546
98	279	2542
99	282	2538
100	285	2536
101	287	2532
102	290	2531
103	293	2529
104	296	2526
105	299	2524
106	301	2520
107	304	2517
108	307	2512
109	310	2512
110	313	2508
111	316	2513
112	321	2522
113	324	2518
114	326	2513
115	329	2510
116	332	2507
117	334	2503
118	337	2500
119	340	2495
120	343	2492
121	347	2498
122	350	2502
123	353	2499
124	356	2495
125	359	2491
126	362	2491
127	365	2487
128	367	2483
129	371	2488
130	374	2487
131	377	2484
132	380	2482
133	384	2481
134	387	2482
135	390	2478
136	393	2476
137	395	2473
138	398	2470
139	401	2467
140	404	2463
141	407	2461
142	410	2457
143	413	2455
144	415	2450
145	418	2447
146	421	2443
147	423	2440
148	426	2436
149	429	2432
150	432	2429
151	434	2425
152	437	2423
153	440	2420
154	443	2415
155	447	2422
156	450	2420
157	453	2417
158	456	2414
159	459	2410
160	461	2406
161	464	2403
162	467	2400
163	470	2398
164	473	2394
165	476	2391
166	478	2388
167	481	2385
168	484	2382
169	487	2378
170	489	2375
171	492	2370
172	495	2368
173	498	2364
174	500	2361
175	503	2358
176	506	2354
177	509	2352
178	512	2348
179	514	2344
180	518	2346
181	521	2344
182	524	2340
183	527	2337
184	529	2334
185	532	2331
186	535	2330
187	538	2326
188	541	2324
189	544	2320
190	547	2317
191	549	2314
192	552	2310
193	555	2307
194	558	2303
195	560	2300
196	563	2297
197	566	2295
198	569	2291
199	572	2288
200	574	2285
201	577	2282
202	580	2278
203	583	2274
204	585	2271
205	588	2268
206	591	2266
207	594	2262
208	597	2260
209	599	2256
210	602	2252
211	605	2250
212	608	2247
213	611	2244
214	613	2240
215	616	2237
216	619	2233
217	621	2230
218	624	2228
219	627	2224
220	630	2221
221	633	2218
222	635	2215
223	638	2211
224	640	2207
225	643	2205
226	646	2201
227	649	2198
228	652	2195
229	655	2192
230	657	2189
231	660	2185
232	663	2182
233	665	2179
234	668	2177
235	671	2173
236	676	2178
237	679	2175
238	682	2173
239	685	2170
240	688	2167
241	690	2164
242	693	2161
243	696	2158
244	699	2156
245	702	2152
246	705	2149
247	708	2147
248	710	2143
249	713	2141
250	716	2139
251	719	2136
252	722	2132
253	725	2129
254	727	2126
255	730	2122
256	733	2120
257	736	2117
258	739	2114
259	741	2111
260	744	2108
261	747	2105
262	750	2102
263	753	2099
264	755	2095
265	758	2092
266	761	2089
267	763	2086
268	766	2082
269	769	2080
270	772	2077
271	774	2074
272	777	2071
273	780	2067
274	783	2065
275	786	2061
276	788	2059
277	791	2056
278	794	2052
279	797	2049
280	799	2046
281	802	2043
282	805	2041
283	808	2038
284	811	2034
285	813	2031
286	816	2028
287	819	2025
288	821	2022
289	824	2018
290	827	2015
291	829	2012
292	832	2008
293	835	2005
294	838	2002
295	840	1999
296	843	1996
297	846	1993
298	848	1989
299	851	1986
300	854	1983
301	856	1980
302	859	1976
303	862	1973
304	864	1970
305	867	1967
306	871	1966
307	874	1965
308	877	1962
309	881	1961
310	884	1959
311	887	1956
312	890	1954
313	893	1950
314	896	1949
315	900	1948
316	903	1945
317	906	1944
318	909	1941
319	912	1939
320	915	1936
321	918	1932
322	920	1929
323	923	1926
324	926	1923
325	928	1920
326	931	1917
327	934	1913
328	936	1910
329	939	1907
330	942	1905
331	945	1901
332	947	1898
333	950	1895
334	953	1891
335	955	1888
336	958	1884
337	960	1881
338	963	1878
339	966	1875
340	968	1872
341	971	1869
342	974	1865
343	976	1862
344	979	1859
345	982	1856
346	984	1853
347	987	1850
348	991	1850
349	996	1851
350	1000	1850
351	1004	1848
352	1007	1846
353	1010	1843
354	1012	1840
355	1016	1839
356	1019	1836
357	1022	1833
358	1024	1829
359	1027	1826
360	1030	1823
361	1032	1820
362	1035	1817
363	1038	1814
364	1040	1810
365	1043	1807
366	1046	1804
367	1048	1801
368	1051	1798
369	1054	1795
370	1056	1791
371	1059	1788
372	1062	1785
373	1065	1782
374	1067	1779
375	1070	1776
376	1073	1773
